manufacturer,model,size,count,days,failures,afr
SEAGATE,ST4000DM000,4tb,19211,52597595,3843,0.0267
SEAGATE,ST12000NM0007           ,12tb,37004,20853714,1466,0.0257
SEAGATE,ST8000NM0055,8tb,14447,13172942,439,0.0122
SEAGATE,ST8000DM002,8tb,9809,11807158,351,0.0109
HGST,HMS5C4040BLE640,4tb,12746,19578610,245,0.0046
HGST,HMS5C4040ALE640,4tb,2852,11674201,165,0.0052
SEAGATE,ST6000DX000,6tb,886,2902718,84,0.0106
HGST,HUH721212ALN604    ,12tb,10859,2919243,32,0.004
SEAGATE,ST10000NM0086           ,10tb,1200,1006626,19,0.0069
HGST,HUH728080ALE600,8tb,1000,838384,18,0.0078
TOSHIBA,MG07ACA14TA     ,14tb,3619,673365,16,0.0087
SEAGATE,ST12000NM0008,12tb,7215,321275,10,0.0114
HGST,HUH721212ALE600                ,12tb,1560,327080,5,0.0056
TOSHIBA,MD04ABA400V,4tb,99,234748,5,0.0078
TOSHIBA,HDWF180,8tb,20,13994,1,0.0261
SEAGATE,ST16000NM001G,16tb,40,1140,0,0
HGST,HUH721010ALE600,10tb,20,8042,0,0
TOSHIBA,MG08ACA16TA,16tb,20,100,0,0
